airport,Airport Name,MinRWYlength,Taxi_In,Taxi_In fuel,taxi_in_seconds
EDHI,HAMBURG-FINKENWERDER,8629.0,4.7425149701,56.91,284.550898206
EDJA,MEMMINGEN,8629.0,5.8052139695,69.66,348.31283816999996
EDLP,PADERBORN LIPPSTADT,7152.0,4.8500468604,58.2,291.002811624
EDLV,WEEZE,8005.0,5.5843737414,67.01,335.062424484
EDLW,DORTMUND-WICKEDE,6562.0,7.0224215247,84.27,421.345291482
EDNY,FRIEDRICHSHAFEN,7729.0,4.8538011696,58.25,291.22807017599996
EDSB,KARLSRUHE/BADEN-BADE,9787.0,4.7462000707,56.95,284.772004242
EDVE,,7546.0,4.0,48.0,240.0
EDVE,,2953.0,4.0,48.0,240.0
EDXW,SYLT,5564.0,5.2235915493,62.68,313.415492958
EDXW,SYLT,6955.0,5.2235915493,62.68,313.415492958
EEPU,,6463.0,4.0,48.0,240.0
EETN,TALLINN/ULEMISTE,11417.0,4.7255480607,56.71,283.532883642
EETU,TARTU,5905.0,2.0070422535,24.08,120.42253520999999
EFET,,6565.0,4.0,48.0,240.0
EFHK,HELSINKI-VANTAA,10039.0,4.5419847328,54.5,272.51908396799996
EFHK,HELSINKI-VANTAA,11286.0,4.5419847328,54.5,272.51908396799996
EFHK,HELSINKI-VANTAA,9518.0,4.5419847328,54.5,272.51908396799996
EFIV,IVALO,8199.0,2.657480315,31.89,159.4488189
EFIV,IVALO,2625.0,2.657480315,31.89,159.4488189
EFKI,,8199.0,4.0,48.0,240.0
EFKS,KUUSAMO,8202.0,2.2565217391,27.08,135.391304346
EFKT,KITTILA,8202.0,2.8156028369,33.79,168.93617021400001
EFKU,KUOPIO,4921.0,2.0856353591,25.03,125.138121546
EFKU,KUOPIO,9186.0,2.0856353591,25.03,125.138121546
EFOU,OULU,8205.0,3.4668018246,41.6,208.00810947600002
EFRO,ROVANIEMI,9849.0,3.0097087379,36.12,180.582524274
EFTP,TAMPERE-PIRKKALA,8858.0,3.6049079755,43.26,216.29447853000002
EFTU,TURKU,8202.0,4.6770601336,56.12,280.62360801600005
EFVA,VAASA,4921.0,2.5792988314,30.95,154.757929884
EFVA,VAASA,8727.0,2.5792988314,30.95,154.757929884
EGAA,BELFAST/ALDERGROVE,9121.0,4.8274538286,57.93,289.647229716
EGAA,BELFAST/ALDERGROVE,6204.0,4.8274538286,57.93,289.647229716
EGAC,BELFAST/CITY AIRPORT,6001.0,4.3420350044,52.1,260.52210026399996
EGBB,BIRMINGHAM,10013.0,6.477977978,77.74,388.67867868
EGCC,MANCHESTER,10000.0,7.2971085555,87.57,437.82651333
EGCC,MANCHESTER,10007.0,7.2971085555,87.57,437.82651333
EGCN,DONCASTER/SHEFFIELD,9495.0,5.1628806187,61.95,309.772837122
EGFF,CARDIFF,7723.0,4.5866538646,55.04,275.199231876
EGGD,BRISTOL/LULSGATE,6597.0,4.7196284527,56.64,283.17770716200005
EGGP,LIVERPOOL,7497.0,4.3834797462,52.6,263.008784772
EGGW,LONDON/LUTON,7093.0,6.4785646237,77.74,388.713877422
EGHH,BOURNEMOUTH/HURN,7451.0,5.1628182356,61.95,309.769094136
EGHI,SOUTHAMPTON,6148.0,3.6735294118,44.08,220.41176470800002
EGHQ,NEWQUAY CORNWALL,9006.0,4.9710144928,59.65,298.26086956800003
EGHL,,5896.0,4.0,48.0,240.0
EGJJ,JERSEY,5597.0,4.7568777991,57.08,285.412667946
EGKK,LONDON/GATWICK,8402.0,8.1393441312,97.67,488.36064787199996
EGKK,LONDON/GATWICK,10883.0,8.1393441312,97.67,488.36064787199996
EGLC,LONDON/CITY,4948.0,4.1944585663,50.33,251.667513978
EGLL,LONDON/HEATHROW,12799.0,10.4272878536,125.13,625.6372712159999
EGLL,LONDON/HEATHROW,12001.0,10.4272878536,125.13,625.6372712159999
EGMC,SOUTHEND,6089.0,5.2111111111,62.53,312.666666666
EGNJ,HUMBERSIDE,7205.0,3.1845637584,38.21,191.07382550399998
EGNJ,HUMBERSIDE,3458.0,3.1845637584,38.21,191.07382550399998
EGNM,LEEDS AND BRADFORD,7381.0,4.5911367051,55.09,275.468202306
EGNS,ISLE OF MAN/RONALDSW,3934.0,3.9965753425,47.96,239.79452055
EGNS,ISLE OF MAN/RONALDSW,5751.0,3.9965753425,47.96,239.79452055
EGNS,ISLE OF MAN/RONALDSW,2963.0,3.9965753425,47.96,239.79452055
EGNT,NEWCASTLE,7642.0,4.2051011434,50.46,252.30606860400002
EGNV,TEESSIDE,7516.0,3.8466386555,46.16,230.79831933
EGNX,EAST MIDLANDS,9491.0,3.9990739026,47.99,239.944434156
EGPD,ABERDEEN,1893.0,4.0531835206,48.64,243.191011236
EGPD,ABERDEEN,2165.0,4.0531835206,48.64,243.191011236
EGPD,ABERDEEN,6407.0,4.0531835206,48.64,243.191011236
EGPD,ABERDEEN,853.0,4.0531835206,48.64,243.191011236
EGPE,INVERNESS,6191.0,4.100896861,49.21,246.05381165999998
EGPE,INVERNESS,2297.0,4.100896861,49.21,246.05381165999998
EGPF,GLASGOW,8743.0,4.73,56.76,283.8
EGPF,GLASGOW,3622.0,4.73,56.76,283.8
EGPH,EDINBURGH,8386.0,6.2727464975,75.27,376.36478985
EGPH,EDINBURGH,2621.0,6.2727464975,75.27,376.36478985
EGPH,EDINBURGH,5730.0,6.2727464975,75.27,376.36478985
EGPK,PRESTWICK,6250.0,4.3896752706,52.68,263.380516236
EGPK,PRESTWICK,9797.0,4.3896752706,52.68,263.380516236
EGSH,NORWICH,4154.0,3.5021276596,42.03,210.127659576
EGSH,NORWICH,6041.0,3.5021276596,42.03,210.127659576
EGSS,LONDON/STANSTED,10003.0,6.7722823287,81.27,406.336939722
EGSY,,3973.0,4.0,48.0,240.0
EGTE,EXETER,6834.0,4.325323475,51.9,259.5194085
EGTE,EXETER,4393.0,4.325323475,51.9,259.5194085
EGVN,,10007.0,4.0,48.0,240.0
EHAM,AMSTERDAM,6627.0,8.0871241173,97.05,485.22744703800004
EHAM,AMSTERDAM,11283.0,8.0871241173,97.05,485.22744703800004
